@relation output-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R31

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 31 numeric
@attribute 32 {-1,0,1}

@data
0.069407,0.090701,-0.069296,0,0.186697,-0.287509,0,0.021358,0.080077,0.154691,-0.229016,0.05872,0.314767,0.148912,-0.063725,0.015941,-0.260334,0.213072,-0.191357,0.117165,0.101069,0,-0.090339,-0.010638,0.026597,0.223357,-0.111429,0.037185,0.026551,-0.207039,71580,-1
0.021403,-0.042797,0.016056,0.005351,-0.080261,0.04284,-0.005353,-0.021412,0.021417,-0.069589,-0.133919,0.042912,-0.016085,0.0858,0.010716,-0.037501,0.042875,-0.058928,0.069683,0.080347,0.07493,-0.160445,0.107135,0.010702,-0.074906,-0.037481,-0.101773,0.075067,0.010716,-0.053573,66180,0
-0.145324,0.005598,0,-0.016792,0,0.050383,0.011191,0,-0.234978,-0.112158,-0.17404,-0.089984,-0.011258,-0.056297,0,0.681575,-0.671366,0.090121,0.174451,-0.089883,-0.022491,-0.033744,0.050633,0.112461,-0.011233,0.162903,-0.297235,0.37687,0.156907,-0.313322,63600,1
-0.173395,-0.065136,0,0.157515,0,0,0,-0.119306,-0.141166,0.179426,0,0.081411,0.081345,-0.081279,-0.021692,-0.027121,-0.043405,0,-0.048852,-0.054307,0.114106,0,0.135685,-0.102981,0.206174,0.167849,0.010811,0,0.097287,-0.032397,56340,-1
-0.005371,-0.198743,-0.064586,-0.043085,0.118534,-0.107631,0.140071,0.231332,-0.220063,0.155998,0.005371,-0.107411,0.05914,0.010746,0,-0.053726,0.080632,-0.085938,0.10214,0.118146,-0.107279,-0.118133,-0.043008,-0.096811,0.22611,-0.080572,-0.026879,-0.059149,0,0.322824,60960,1
0.053308,0.015984,-0.122523,0,0.085338,0.021316,0.095903,-0.015968,0.010647,-0.047908,0.021303,0.053245,-0.005322,0.021288,0.010642,0.058523,0.021269,-0.085057,0.313913,-0.106078,0.042476,-0.015922,0.026541,-0.053067,-0.021238,-0.026553,0.02656,-0.042485,0,-0.058442,60540,0
0.03794,0.005418,0,-0.146278,0,-0.037979,0.059705,0,0,0.141036,0.043335,0.027072,0.059543,0.00541,0.054095,0,-0.129758,0.129926,0.037846,-0.064854,0,0.070304,-0.03783,0,-0.021625,0.027037,0.05406,0.086449,0.005398,0,64440,0
0.093171,-0.005476,-0.13142,0.016449,-0.098679,0.027438,-0.137152,-0.087898,-0.038489,-0.022002,0.055018,0.021995,0.104453,-0.054918,-0.478048,-0.066254,0.220994,-0.253583,-0.138167,0.177099,0.027623,-0.011046,-0.038665,-0.160248,0.105158,-0.298557,0.293906,-0.331748,-0.238544,0.105655,57720,-1
0.443397,0.089405,-0.591782,0.550376,-0.072609,-0.005589,-0.055897,-0.111857,0.050392,-0.005596,0.01679,0.106317,-0.19564,-0.016802,-0.03361,0.039224,0.005601,0.050409,-0.106365,0.184936,-0.173407,-0.005603,-0.028019,0.056054,0,0,-0.05042,-0.151337,0.095431,-0.370142,65400,1
0.032744,-0.201855,0,0.169464,0.14189,-0.098093,-0.207288,0.092927,0.098302,-0.114573,0.267643,0.070818,0.027218,-0.027211,-0.34295,0.36598,-0.212256,0.212708,-0.604115,0.438044,-0.648749,0.054873,-0.07678,0.186608,-0.071217,0.038375,-0.076721,0.016453,0.0658,-0.389062,56760,1
