Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,54.85,55.05,54.33,54.37,15614500,54.37
2015-01-14,54.26,54.71,53.98,54.63,19597500,54.63
2015-01-13,55.50,55.93,54.41,54.93,17530900,54.93
2015-01-12,55.46,55.51,54.79,55.04,11229500,55.04
2015-01-09,56.09,56.15,55.33,55.42,10168200,55.42
2015-01-08,55.41,56.05,55.29,56.02,11419800,56.02
2015-01-07,55.02,55.16,54.65,54.92,11770300,54.92
2015-01-06,55.25,55.31,54.16,54.51,19209800,54.51
2015-01-05,56.04,56.26,55.07,55.19,15144700,55.19
2015-01-02,56.86,56.94,56.02,56.51,10982800,56.51
2014-12-31,57.38,57.38,56.55,56.58,5572900,56.58
2014-12-30,57.73,57.73,57.07,57.15,3602800,57.15
2014-12-29,57.33,57.54,56.91,57.49,3565000,57.49
2014-12-26,57.60,57.60,57.40,57.40,5733400,57.40
2014-12-24,57.47,57.56,57.35,57.40,1958200,57.40
2014-12-23,57.42,57.57,57.24,57.34,5552900,57.34
2014-12-22,56.80,57.15,56.72,57.13,6987900,57.13
2014-12-19,56.45,56.81,56.31,56.59,12359000,56.59
2014-12-18,56.25,56.63,55.77,56.59,13880400,56.27
2014-12-17,54.53,55.34,54.14,55.20,21899700,54.89
2014-12-16,54.55,55.77,54.51,54.69,15504600,54.38
2014-12-15,55.28,55.31,54.35,54.64,16225600,54.33
2014-12-12,55.37,55.61,54.79,54.82,13168800,54.51
2014-12-11,55.47,56.30,55.39,55.83,11749900,55.52
2014-12-10,56.48,56.59,55.50,55.56,12913200,55.25
2014-12-09,56.00,56.71,55.84,56.64,10282200,56.32
2014-12-08,57.17,57.26,56.45,56.63,8838300,56.31
2014-12-05,57.22,57.48,57.09,57.26,7454600,56.94
2014-12-04,57.36,57.38,56.88,57.13,6474400,56.81
2014-12-03,56.70,57.50,56.70,57.42,11434700,57.10
2014-12-02,56.40,56.72,56.17,56.66,6611700,56.34
2014-12-01,56.73,56.73,56.04,56.18,16636300,55.87
2014-11-28,57.54,57.55,56.83,56.91,5866000,56.59
2014-11-26,57.53,57.54,57.28,57.39,5373800,57.07
2014-11-25,57.47,57.62,57.29,57.50,8268600,57.18
2014-11-24,57.34,57.53,57.20,57.33,6706900,57.01
2014-11-21,57.29,57.34,57.05,57.18,7509600,56.86
2014-11-20,56.31,56.70,56.12,56.63,7383100,56.31
2014-11-19,56.62,56.64,56.27,56.48,5200400,56.16
2014-11-18,56.20,56.79,56.20,56.65,8658600,56.33
2014-11-17,56.15,56.37,56.06,56.23,4271100,55.92
2014-11-14,56.20,56.44,56.13,56.31,5554500,56.00
2014-11-13,56.40,56.62,56.07,56.24,6437000,55.93
2014-11-12,56.08,56.49,56.08,56.40,7108400,56.09
2014-11-11,56.47,56.54,56.17,56.32,9905400,56.01
2014-11-10,56.16,56.42,56.09,56.39,6131300,56.08
2014-11-07,56.05,56.15,55.85,56.11,8241600,55.80
2014-11-06,55.55,56.10,55.47,56.03,5731600,55.72
2014-11-05,55.59,55.59,55.14,55.45,8110600,55.14
2014-11-04,55.07,55.36,54.92,55.11,6232600,54.80
2014-11-03,55.29,55.34,54.90,55.14,11111400,54.83
2014-10-31,55.53,55.53,55.05,55.21,10174400,54.90
2014-10-30,54.22,54.87,53.99,54.67,10528600,54.36
2014-10-29,54.83,54.83,54.04,54.45,12580600,54.15
2014-10-28,54.01,54.69,54.01,54.64,10066800,54.33
2014-10-27,53.58,53.74,53.23,53.69,9692900,53.39
2014-10-24,53.55,53.74,53.09,53.71,8938000,53.41
2014-10-23,52.82,53.60,52.75,53.24,23317200,52.94
2014-10-22,52.99,52.99,52.04,52.09,16417700,51.80
2014-10-21,51.98,52.84,51.96,52.78,12829700,52.49
2014-10-20,51.37,51.64,51.21,51.63,17450100,51.34
2014-10-17,51.46,51.80,51.22,51.48,24733100,51.19
2014-10-16,49.28,50.91,49.15,50.48,43949200,50.20
2014-10-15,49.45,50.35,48.83,50.11,28271700,49.83
2014-10-14,49.93,50.85,49.82,50.23,22094900,49.95
2014-10-13,50.46,50.93,49.50,49.54,24625300,49.26
2014-10-10,51.07,51.17,50.31,50.32,20032100,50.04
2014-10-09,52.17,52.26,50.98,51.07,23240000,50.78
2014-10-08,51.38,52.33,51.01,52.28,23937700,51.99
2014-10-07,52.24,52.35,51.36,51.36,19321900,51.07
2014-10-06,53.10,53.19,52.49,52.64,12069800,52.35
2014-10-03,52.48,52.89,52.40,52.80,14246700,52.51
2014-10-02,52.13,52.32,51.62,52.09,13007000,51.80
2014-10-01,52.98,52.98,52.03,52.15,20308400,51.86
2014-09-30,53.30,53.54,53.06,53.15,12380000,52.85
2014-09-29,52.82,53.32,52.75,53.23,7661600,52.93
2014-09-26,52.97,53.44,52.83,53.31,5839000,53.01
2014-09-25,53.47,53.51,52.81,52.82,10761400,52.53
2014-09-24,53.41,53.72,53.19,53.66,8569800,53.36
2014-09-23,53.62,53.74,53.36,53.38,8630000,53.08
2014-09-22,54.33,54.36,53.76,53.82,10709000,53.52
2014-09-19,54.80,54.83,54.35,54.43,9271200,54.13
2014-09-18,54.61,54.82,54.58,54.74,8057200,54.18
2014-09-17,54.36,54.75,54.23,54.48,9715900,53.92
2014-09-16,53.91,54.34,53.71,54.27,7319400,53.71
2014-09-15,53.92,54.05,53.71,53.97,7027300,53.42
2014-09-12,54.06,54.15,53.84,53.99,9045800,53.44
2014-09-11,53.91,54.23,53.91,54.17,5783900,53.61
2014-09-10,54.08,54.22,53.86,54.15,5445100,53.59
2014-09-09,54.35,54.37,54.02,54.11,5796600,53.56
2014-09-08,54.24,54.47,54.23,54.28,5321100,53.72
2014-09-05,54.10,54.34,53.87,54.33,9279800,53.77
2014-09-04,54.23,54.55,54.05,54.15,6924900,53.59
2014-09-03,54.32,54.39,54.03,54.13,5289400,53.58
2014-09-02,54.14,54.36,53.96,54.20,7153200,53.64
2014-08-29,54.10,54.16,53.81,54.02,5453300,53.47
2014-08-28,54.05,54.08,53.80,54.07,4227200,53.52
2014-08-27,54.30,54.32,54.04,54.15,3757600,53.59
2014-08-26,54.44,54.46,54.16,54.18,2874100,53.62
2014-08-25,54.40,54.48,54.27,54.36,3997800,53.80
2014-08-22,54.28,54.38,54.02,54.15,5621900,53.59
2014-08-21,54.45,54.50,54.19,54.34,9971800,53.78
2014-08-20,53.87,54.48,53.81,54.39,26415100,53.83
2014-08-19,53.80,53.90,53.73,53.82,6246500,53.27
2014-08-18,53.24,53.69,53.22,53.69,7944300,53.14
2014-08-15,53.22,53.28,52.51,52.89,11193000,52.35
2014-08-14,52.78,53.02,52.77,53.00,7470600,52.46
2014-08-13,52.46,52.80,52.46,52.77,7600500,52.23
2014-08-12,52.33,52.59,52.17,52.26,11550900,51.72
2014-08-11,52.40,52.68,52.20,52.38,7057100,51.84
2014-08-08,51.57,52.21,51.39,52.17,11882700,51.64
2014-08-07,51.67,51.86,51.34,51.44,14560100,50.91
2014-08-06,51.44,51.62,51.20,51.39,31000700,50.86
