Date,Open,High,Low,Close,Volume,Adj Close
2015-01-15,23.42,23.54,23.17,23.21,47147200,23.21
2015-01-14,23.46,23.59,23.19,23.50,57965900,23.50
2015-01-13,24.08,24.24,23.67,23.84,37193200,23.84
2015-01-12,24.12,24.18,23.85,23.92,31158700,23.92
2015-01-09,24.50,24.51,24.11,24.12,29488700,24.12
2015-01-08,24.37,24.51,24.32,24.45,30865900,24.45
2015-01-07,24.04,24.15,23.90,24.09,29477700,24.09
2015-01-06,24.21,24.29,23.73,23.84,46673000,23.84
2015-01-05,24.57,24.62,24.15,24.21,41243300,24.21
2015-01-02,24.86,24.90,24.54,24.73,32909400,24.73
2014-12-31,25.10,25.12,24.70,24.73,24264800,24.73
2014-12-30,25.00,25.07,24.93,25.01,16489400,25.01
2014-12-29,24.93,25.14,24.88,25.04,17974400,25.04
2014-12-26,25.03,25.04,24.94,24.95,14743300,24.95
2014-12-24,25.07,25.07,24.94,24.95,7938800,24.95
2014-12-23,24.94,25.08,24.89,24.99,18625800,24.99
2014-12-22,24.75,24.85,24.69,24.85,15820700,24.85
2014-12-19,24.74,24.81,24.60,24.68,39892300,24.68
2014-12-18,24.60,24.81,24.47,24.79,35876800,24.66
2014-12-17,23.80,24.24,23.75,24.23,43763900,24.11
2014-12-16,23.79,24.17,23.68,23.69,36959700,23.57
2014-12-15,24.28,24.32,23.80,23.92,37315800,23.80
2014-12-12,24.43,24.58,24.11,24.14,39253200,24.02
2014-12-11,24.63,24.84,24.58,24.62,58342400,24.49
2014-12-10,24.81,24.89,24.52,24.56,51637600,24.44
2014-12-09,24.62,24.88,24.55,24.88,45097900,24.75
2014-12-08,24.79,25.07,24.78,24.94,42986100,24.81
2014-12-05,24.73,24.91,24.70,24.82,30227400,24.69
2014-12-04,24.54,24.63,24.44,24.60,16992800,24.47
2014-12-03,24.48,24.59,24.43,24.57,14471500,24.45
2014-12-02,24.21,24.48,24.21,24.46,21679500,24.34
2014-12-01,24.27,24.34,24.17,24.23,27339000,24.11
2014-11-28,24.40,24.51,24.37,24.40,7816000,24.28
2014-11-26,24.35,24.39,24.32,24.38,8747800,24.26
